module	line	kind	name
AFunctor	43	def	ASection.worldRot
AFunctor	59	theorem	ASection.worldRot_one
AFunctor	68	theorem	ASection.worldRot_comp
AFunctor	87	def	ASection.poleRot
AFunctor	91	theorem	ASection.poleRot_smul
AFunctor	100	def	ASection.dirLink
AFunctor	106	theorem	ASection.neg_mem_unitImaginarySphere
AFunctor	117	def	ASection.poleGen
AFunctor	124	def	ASection.functorA
AFunctor	137	def	ASection.TotalA
AFunctor	148	def	ASection.readout
ASection	39	def	weierstrassE
ASection	47	def	spherePrimary
ASection	52	structure	ASection
ASection	207	theorem	ASection.zero_free_on_halfSpace
ASection	214	theorem	ASection.real_on_real
Base	42	def	Base
Base	53	def	bandFunctor
Base	61	def	TotalObject
Base	72	def	TotalObject.level
Base	81	theorem	TotalObject.level_eq_of_zigzag
Base	91	def	TotalObject.ofLevel
Base	103	def	TotalObject.levelClass
Base	111	theorem	TotalObject.eq_ofLevel
Base	119	theorem	TotalObject.zigzag_iff_level
Base	132	theorem	totalObject_components_eq_levels
Basic	1	def	hello
CayleyDictionary	34	def	GreatCircle.cayleyGL
CayleyDictionary	41	theorem	GreatCircle.cayleyGL_val
CayleyDictionary	46	def	GreatCircle.cayleyMoebius
CayleyDictionary	50	def	GreatCircle.cayleyConjGL
CayleyDictionary	55	def	GreatCircle.glToMoebius
CayleyDictionary	59	def	GreatCircle.cayleyConjMoebiusGL
CayleyDictionary	64	theorem	GreatCircle.cayleyConjMoebiusGL_scalar
CayleyDictionary	94	def	GreatCircle.cayleyProjective
CayleyDictionary	98	theorem	GreatCircle.cayleyProjective_mk
CayleyDictionary	103	def	GreatCircle.complexPoint
CayleyDictionary	107	def	GreatCircle.cayleyCoord
CayleyDictionary	111	theorem	GreatCircle.cayleyCoord_infty
CayleyDictionary	118	theorem	GreatCircle.cayleyCoord_equivariant
CayleyDictionary	135	theorem	GreatCircle.cayleyMoebius_apply_infty
CayleyDictionary	141	theorem	GreatCircle.cayleyMoebius_apply_real
CayleyDictionary	152	theorem	GreatCircle.norm_cayley_real
CayleyDictionary	172	def	GreatCircle.distinguishedGL
CayleyDictionary	182	theorem	GreatCircle.distinguishedGL_val
CayleyDictionary	187	def	GreatCircle.distinguishedMoebius
CayleyDictionary	191	theorem	GreatCircle.distinguishedMoebius_apply
CayleyDictionary	205	theorem	GreatCircle.distinguishedMoebius_zero
CayleyDictionary	217	theorem	GreatCircle.cayleyProjective_mul
CayleyDictionary	222	def	GreatCircle.phaseCircle
CayleyDictionary	225	theorem	GreatCircle.phaseCircle_coe
CayleyDictionary	231	theorem	GreatCircle.distinguished_phase_is_band
CayleyDictionary	239	def	GreatCircle.distinguishedCompDen
CayleyDictionary	244	def	GreatCircle.distinguishedCompNum
CayleyDictionary	249	theorem	GreatCircle.distinguishedComp_normSq_gap
CayleyDictionary	259	theorem	GreatCircle.distinguishedCompDen_ne_zero
CayleyDictionary	270	def	GreatCircle.distinguishedCompW
CayleyDictionary	288	def	GreatCircle.distinguishedCompPhase
CayleyDictionary	300	def	GreatCircle.distinguishedCompScalar
CayleyDictionary	307	theorem	GreatCircle.distinguishedGL_mul
CayleyDictionary	353	theorem	GreatCircle.distinguishedMoebius_mul
CayleyDictionary	383	theorem	ASection.exp_phase_eq_sliceEmbed
ConcentricityReadout	57	theorem	ASection.realizes_of_value_eq
ConcentricityReadout	83	theorem	ASection.realizes_value_eq
ConcentricityReadout	106	theorem	ASection.value_const_on_component
ConcentricityReadout	123	theorem	ASection.shared_level_at_scale
ConcentricityReadout	139	def	ASection.anchor
ConcentricityReadout	161	def	ASection.zeroAddress
ConcentricityReadout	171	theorem	ASection.transport_pi0_singleton
ConcentricityReadout	197	theorem	ASection.totalA_pi0_singleton
ConcentricityReadout	217	theorem	ASection.label_on_shared_circle
ConcentricityReadout	228	theorem	ASection.label_class_eq_nClass
ConcentricityReadout	243	theorem	ASection.zero_levels_common
ConcentricityReadout	269	theorem	ASection.concentricity
ConnectedBase	26	def	ASection.Fstar
ConnectedBase	29	theorem	ASection.Fstar_infty
ConnectedBase	32	theorem	ASection.Fstar_coe
ConnectedBase	44	theorem	ASection.gpvBase_transport_star
ConnectedBase	73	def	ASection.circleEmbed
ConnectedBase	77	def	ASection.NonSingular
ConnectedBase	83	def	ASection.Base
ConnectedBase	88	def	ASection.Realizes
ConnectedBase	98	theorem	ASection.realizes_id
ConnectedBase	120	theorem	ASection.realizes_inv
ConnectedBase	145	theorem	ASection.realizes_comp
ConnectedBase	191	instance	ASection.instGroupoidBase
Corollaries	32	theorem	ASection.nontrivial_one_centre
Corollaries	46	theorem	zeta_riemannHypothesis
Corollaries	57	theorem	zeta_criticalLine_zeros_infinite
FaithfulApply	10	theorem	itself
FaithfulApply	99	def	ASection.valuePath
FaithfulApply	105	theorem	ASection.valuePath_apply
FaithfulApply	122	theorem	ASection.gpvBase_transport
FaithfulApply	173	theorem	ASection.great_circle_value_degenerate
FaithfulApply	198	theorem	ASection.great_circle_lift_through_degenerate
FaithfulApply	274	theorem	ASection.great_circle_passage_total
FaithfulApply	328	theorem	ASection.zero_encounters_joined_concentric
FaithfulApply	354	theorem	ASection.pole_encounters_joined_concentric
FaithfulApply	557	theorem	ASection.concentricity_via_faithfulApply
FlipWeld	96	theorem	stemDirSign_eq_zero_iff
FlipWeld	102	theorem	sign_pm_of_ne_zero
FlipWeld	109	theorem	neg_one_zpow_pm
FlipWeld	115	theorem	pm_resolve_neq
FlipWeld	127	theorem	stem_sign_eq_on_free
FlipWeld	161	theorem	obstruction_free_left
FlipWeld	183	theorem	obstruction_free_right
FlipWeld	216	theorem	crossingData_of_isolated
FlipWeld	234	theorem	crossingData_of_finite_obstruction
FlipWeld	246	theorem	stemSignature_eq_circularSignature
FlipWeld	257	theorem	circularSignature_int_parity
FlipWeld	290	theorem	stemSignature_int_parity
FlipWeld	301	theorem	stemSignature_ne_zero_of_odd_flips
FlipWeld	316	theorem	stemSignature_eq_neg_one_of_odd
FlipWeld	334	theorem	arc_one_band
FlipWeld	389	theorem	CrossingData.eventually_im_ne_left
FlipWeld	396	theorem	CrossingData.eventually_im_ne_right
FlipWeld	405	theorem	CrossingData.eventually_above_iff_left
FlipWeld	421	theorem	CrossingData.eventually_above_iff_right
FlipWeld	439	theorem	CrossingData.eventually_below_iff_right
FlipWeld	465	theorem	CrossingData.bounce_conserves_band
FlipWeld	480	theorem	CrossingData.flip_steps_band
FlipWeld	504	theorem	exists_flip_of_up_rung
FlipWeld	646	def	conjLoop
FlipWeld	649	theorem	conjLoop_apply
FlipWeld	654	theorem	conjLoop_obstructionSet
FlipWeld	662	def	CrossingData.ofConj
FlipWeld	688	theorem	CrossingData.ofConj_t
FlipWeld	692	theorem	CrossingData.ofConj_isFlip
FlipWeld	703	theorem	exists_flip_of_rung_between
FlipWeld	739	theorem	unitInterval_zero_lt_one
FlipWeld	754	theorem	exists_interior_flip_of_stemWinding_ne_zero
FlipWeld	821	theorem	stemWinding_eq_zero_of_no_interior_flip
FlipWeld	842	theorem	closed_lift_of_no_interior_flip
FlipWeld	860	theorem	ASection.domain_crossing_obstruction
FlipWeld	876	theorem	weierstrassE_conj
FlipWeld	890	theorem	spherePrimary_ofReal
FlipWeld	899	theorem	spherePrimary_ofReal_im
FlipWeld	904	theorem	spherePrimary_ofReal_nonneg
FlipWeld	915	theorem	spherePrimary_ofReal_pos
FlipWeld	927	theorem	re_mul_of_im_eq_zero
FlipWeld	936	theorem	ASection.sphereTail_real_nonneg
FlipWeld	960	theorem	ASection.exp_gfac_real_pos
FlipWeld	970	theorem	ASection.crossing_value_real
FlipWeld	986	theorem	ASection.crossing_sign_rigid
FlipWeld	1035	theorem	ASection.crossing_sign_const_between
FlipWeld	1082	theorem	ASection.rect_value_flip
FlipWeld	1176	theorem	ASection.concentricity_via_flipWeld
G2	27	structure	G2
G2	36	theorem	G2.ext
G2	69	theorem	G2.smul_def
G2	72	theorem	G2.smul_mul
G2	79	theorem	G2.smul_one
G2	87	theorem	G2.smul_ofReal
G2	105	theorem	G2.exists_smul_basicTriple
G2	194	theorem	G2.exists_smul_eq_of_mem_unitImaginarySphere
G2	231	def	H1
InboxWire	73	theorem	lift_ladder
InboxWire	113	theorem	ASection.euler_branch_ladder
InboxWire	146	theorem	ASection.euler_branch_level
InboxWire	187	theorem	odd_rung_rigidity
InboxWire	258	theorem	ASection.degenerate_stretch_pins_band
InboxWire	305	theorem	stemWinding_eq_zero_of_offReal
InboxWire	316	theorem	offReal_loop_every_branch_closes
InboxWire	341	theorem	ASection.offReal_value_loop_closes
InboxWire	398	theorem	ASection.sphereZero_norm_tendsto_atTop
InboxWire	422	theorem	ASection.sphereZero_im_tendsto_atTop
InboxWire	456	theorem	ASection.indices_below_height_finite
InboxWire	508	theorem	s2_component_exp_eq_iff
InboxWire	553	theorem	ASection.s2_value_class_halfSpace
IntegrateTheorem	16	theorem	itself
IntegrateTheorem	76	theorem	ASection.eventually_ne_zero_near_pole
IntegrateTheorem	103	theorem	ASection.cone_tape_escape
IntegrateTheorem	127	theorem	ASection.tape_continuousOn_real
IntegrateTheorem	144	theorem	ASection.real_segment_tape_sweeps
IntegrateTheorem	167	theorem	ASection.cone_junction_levels_shared
IntegrateTheorem	270	structure	ASection.GpvTransportWitness
IntegrateTheorem	313	def	ASection.GpvPopulated
IntegrateTheorem	323	def	ASection.gpvPopulated
IntegrateTheorem	337	theorem	ASection.gpvPopulated_extends_populated
IntegrateTheorem	343	def	ASection.GpvPopulated.forget
IntegrateTheorem	357	theorem	ASection.concentricity_transport_gpv
IntegrateTheorem	364	theorem	ASection.transport_universal_gpv
IntegrateTheorem	373	structure	ASection.GpvZigzag
IntegrateTheorem	383	def	ASection.gpvZigzag
IntegrateTheorem	402	theorem	ASection.gpv_zigzag_readout
IntegrateTheorem	423	theorem	ASection.not_concentric_iff_spread
IntegrateTheorem	446	theorem	ASection.two_level_apparatus
KernelE4	107	def	ASection.levelSet
KernelE4	110	theorem	ASection.levelSet_nonempty
KernelE4	115	theorem	ASection.levelSet_bddAbove
KernelE4	121	theorem	ASection.levelSet_bddBelow
KernelE4	129	def	ASection.supLevel
KernelE4	133	def	ASection.infLevel
KernelE4	135	theorem	ASection.le_supLevel
KernelE4	139	theorem	ASection.infLevel_le
KernelE4	143	theorem	ASection.infLevel_le_supLevel
KernelE4	149	theorem	ASection.supLevel_le_upperEdge
KernelE4	156	theorem	ASection.supLevel_eq_of_concentric
KernelE4	164	theorem	ASection.infLevel_eq_of_concentric
KernelE4	186	theorem	ASection.liSum_first_family_of_supLevel_le
KernelE4	216	theorem	ASection.liSum_second_family_of_le_infLevel
KernelE4	249	theorem	ASection.liSum_first_family_at_supLevel
KernelE4	255	theorem	ASection.liSum_second_family_at_infLevel
KernelE4	272	theorem	ASection.concentricity_iff_supLevel_le
KernelE4	283	theorem	ASection.concentricity_iff_le_infLevel
KernelE4	294	theorem	ASection.concentricity_iff_infLevel_eq_supLevel
KernelE4	311	theorem	ASection.concentricity_iff_exists_two_sided_level
KernelE4	334	theorem	ASection.supLevel_mem_closure
KernelE4	341	theorem	ASection.exists_levels_tendsto_supLevel
KernelE4	362	theorem	ASection.no_finite_zero_accumulation
KernelE4	424	theorem	ASection.tendsto_norm_atTop_of_levels_tendsto_supLevel
KernelE4	459	theorem	ASection.supLevel_attained_or_escape
KeystoneAssembly	35	theorem	KeystoneAssembly.value_loop_lift_defect
KeystoneAssembly	52	theorem	KeystoneAssembly.value_loop_lift_unique
KeystoneAssembly	61	theorem	KeystoneAssembly.lift_level_at_degenerate
KeystoneFinality	35	theorem	ASection.sphereZero_ne_zero
KeystoneFinality	45	def	ASection.coneInvariant
KeystoneFinality	50	theorem	ASection.transportLevel_eq_coneInvariant
KeystoneFinality	58	theorem	ASection.euler_assembly_tendsto
KeystoneFinality	71	theorem	ASection.weierstrass_assembly_tendsto
KeystoneFinality	81	theorem	ASection.transportLevel_const_via_finality
LiKernel	42	def	liKernel
LiKernel	52	def	ASection.liSum
LiKernel	77	def	liRatio
LiKernel	80	theorem	liKernel_eq_ratio
LiKernel	85	theorem	liRatio_num_ne_zero
LiKernel	94	theorem	liRatio_den_ne_zero
LiKernel	102	theorem	liRatio_ne_zero
LiKernel	110	theorem	normSq_anchor_sub_mirror
LiKernel	120	theorem	liRatio_norm_eq_one
LiKernel	135	theorem	liRatio_norm_lt_one
LiKernel	150	theorem	one_lt_liRatio_norm
LiKernel	165	theorem	liKernel_re_nonneg
LiKernel	183	theorem	exists_pow_forall_norm_sub_one_lt
LiKernel	242	theorem	exists_liKernel_sum_neg
LiKernel	342	theorem	finite_BL
LiKernel	413	theorem	ASection.re_le_upperEdge
LiKernel	422	theorem	summable_inv_one_add_norm_sq_center_shift
LiKernel	447	theorem	norm_one_add_pow_sub_one_sub_mul_le
LiKernel	513	theorem	ASection.blDensity_of_density
LiKernel	544	theorem	ASection.liSum_summable_of_density
LiKernel	694	theorem	ASection.liSum_summable_of_density_at
LiKernel	717	theorem	ASection.liSum_summable
LiKernel	732	theorem	ASection.liSum_first_side
LiKernel	774	theorem	norm_one_add_pow_sub_one_sub_mul_le'
LiKernel	845	theorem	liKernel_re_tail_bound
